"Product","Blackbox flight data recorder by Nicholas Sherlock"
39,19263750,1,1,-1,1000,131075,0,0,1,1
40,19263992,1,1,-1,1000,131075,0,0,1,1
41,19264238,1,1,-1,1000,131075,0,0,1,1
42,19264484,1,1,-1,1000,131075,0,0,1,1
43,19264730,1,1,-1,1000,131075,0,0,1,1
44,19264976,1,1,-1,1000,131075,0,0,1,1
45,19265222,1,1,-1,1000,131075,0,0,1,1
46,19265468,1,1,-1,1000,131075,0,0,1,1
47,19265714,1,1,-1,1000,131075,0,0,1,1
48,19265960,1,1,-1,1000,131075,0,0,1,1
49,19266206,1,1,-1,1000,131075,0,0,1,1
50,19266452,1,1,-1,1000,131075,0,0,1,1
51,19266698,1,1,-1,1000,131075,0,0,1,1
52,19266944,1,1,-1,1000,131075,0,0,1,1
53,19267192,1,1,-1,1000,131075,0,0,1,1
54,19267437,1,1,-1,1000,131075,0,0,1,1
55,19267684,1,1,-1,1000,131075,0,0,1,1
56,19267928,1,1,-1,1000,131075,0,0,1,1
57,19268173,1,1,-1,1000,131075,0,0,1,1
58,19268419,1,1,-1,1000,131075,0,0,1,1
59,19268665,1,1,-1,1000,131075,0,0,1,1
60,19268911,1,1,-1,1000,131075,0,0,1,1
61,19269157,1,1,-1,1000,131075,0,0,1,1
62,19269403,1,1,-1,1000,131075,0,0,1,1
63,19269649,1,1,-1,1000,131075,0,0,1,1
64,19269895,1,1,-1,1000,131075,0,0,1,1
65,19270141,1,1,-1,1000,131075,0,0,1,1
66,19270387,1,1,-1,1000,131075,0,0,1,1
67,19270633,1,1,-1,1000,131075,0,0,1,1
68,19270879,1,1,-1,1000,131075,0,0,1,1
69,19271125,1,1,-1,1000,131075,0,0,1,1
70,19271373,1,1,-1,1000,131075,0,0,1,1
71,19271617,1,1,-1,1000,131075,0,0,1,1
72,19271863,1,1,-1,1000,131075,0,0,1,1
73,19272109,1,1,-1,1000,131075,0,0,1,1
74,19272355,1,1,-1,1000,131075,0,0,1,1
75,19272601,1,1,-1,1000,131075,0,0,1,1
76,19272847,1,1,-1,1000,131075,0,0,1,1
77,19273093,1,1,-1,1000,131075,0,0,1,1
78,19273339,1,1,-1,1000,131075,0,0,1,1
79,19273585,1,1,-1,1000,131075,0,0,1,1
80,19273830,1,1,-1,1000,131075,0,0,1,1
81,19274076,1,1,-1,1000,131075,0,0,1,1
82,19274322,1,1,-1,1000,131075,0,0,1,1
83,19274568,1,1,-1,1000,131075,0,0,1,1
84,19274814,1,1,-1,1000,131075,0,0,1,1
85,19275060,1,1,-1,1000,131075,0,0,1,1
86,19275309,1,1,-1,1000,131075,0,0,1,1
87,19275553,1,1,-1,1000,131075,0,0,1,1
88,19275798,1,1,-1,1000,131075,0,0,1,1
89,19276044,1,1,-1,1000,131075,0,0,1,1
90,19276290,1,1,-1,1000,131075,0,0,1,1
91,19276536,1,1,-1,1000,131075,0,0,1,1
92,19276782,1,1,-1,1000,131075,0,0,1,1
93,19277028,1,1,-1,1000,131075,0,0,1,1
94,19277274,1,1,-1,1000,131075,0,0,1,1
95,19277520,1,1,-1,1000,131075,0,0,1,1
96,19277766,1,1,-1,1000,131075,0,0,1,1
97,19278012,1,1,-1,1000,131075,0,0,1,1
98,19278258,1,1,-1,1000,131075,0,0,1,1
99,19278504,1,1,-1,1000,131075,0,0,1,1
100,19278749,1,1,-1,1000,131075,0,0,1,1
101,19278995,1,1,-1,1000,131075,0,0,1,1
102,19279244,1,1,-1,1000,131075,0,0,1,1
103,19279489,1,1,-1,1000,131075,0,0,1,1
104,19279733,1,1,-1,1000,131075,0,0,1,1
105,19279978,1,1,-1,1000,131075,0,0,1,1
106,19280225,1,1,-1,1000,131075,0,0,1,1
107,19280471,1,1,-1,1000,131075,0,0,1,1
108,19280717,1,1,-1,1000,131075,0,0,1,1
109,19280963,1,1,-1,1000,131075,0,0,1,1
110,19281209,1,1,-1,1000,131075,0,0,1,1
111,19281455,1,1,-1,1000,131075,0,0,1,1
112,19281701,1,1,-1,1000,131075,0,0,1,1
113,19281947,1,1,-1,1000,131075,0,0,1,1
114,19282193,1,1,-1,1000,131075,0,0,1,1
115,19282439,1,1,-1,1000,131075,0,0,1,1
116,19282685,1,1,-1,1000,131075,0,0,1,1
117,19282931,1,1,-1,1000,131075,0,0,1,1
118,19283179,1,1,-1,1000,131075,0,0,1,1
119,19283423,1,1,-1,1000,131075,0,0,1,1
120,19283671,1,1,-1,1000,131075,0,0,1,1
121,19283913,1,1,-1,1000,131075,0,0,1,1
122,19284161,1,1,-1,1000,131075,0,0,1,1
123,19284406,1,1,-1,1000,131075,0,0,1,1
124,19284652,1,1,-1,1000,131075,0,0,1,1
125,19284898,1,1,-1,1000,131075,0,0,1,1
126,19285144,1,1,-1,1000,131075,0,0,1,1
127,19285390,1,1,-1,1000,131075,0,0,1,1
128,19285636,1,1,-1,1000,131075,0,0,1,1
129,19285882,1,1,-1,1000,131075,0,0,1,1
130,19286128,1,1,-1,1000,131075,0,0,1,1
131,19286374,1,1,-1,1000,131075,0,0,1,1
132,19286620,1,1,-1,1000,131075,0,0,1,1
133,19286866,1,1,-1,1000,131075,0,0,1,1
134,19287112,1,1,-1,1000,131075,0,0,1,1
